2026-05-21 15:09:12.478065 | PING | google.com | UP
2026-05-21 15:09:19.328740 | PORT_SCAN | google.com:22 | CLOSED
2026-05-21 15:09:19.335992 | PORT_SCAN | google.com:80 | OPEN
2026-05-21 15:09:19.341962 | PORT_SCAN | google.com:443 | OPEN
2026-05-21 15:09:20.389122 | PORT_SCAN | google.com:3306 | CLOSED
2026-05-21 15:09:21.401836 | PORT_SCAN | google.com:8080 | CLOSED
2026-05-21 15:12:38.880977 | PING | google.com | UP
2026-05-21 15:12:47.485250 | PORT_SCAN | google.com:22 | CLOSED
2026-05-21 15:12:47.490911 | PORT_SCAN | google.com:80 | OPEN
2026-05-21 15:12:47.496758 | PORT_SCAN | google.com:443 | OPEN
2026-05-21 15:12:48.499260 | PORT_SCAN | google.com:3306 | CLOSED
2026-05-21 15:12:49.510343 | PORT_SCAN | google.com:8080 | CLOSED
